id;TARGA;GENERE MERCEOLOGICO;ANNO_ISTITUZIONE;INDIRIZZO;CIVICO;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
60;Cin Cin Bar;Bar;1953;Gall. Buenos Aires;11;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.210636000000022;45.47961000000004;(45.47961000000004, 9.210636000000022)
61;Cinema Centrale;Cinematografo;1907;Via Torino;30/32;1;1;DUOMO;9.185832000000062;45.46216800000008;(45.46216800000008, 9.185832000000062)
62;Città di Londra;Abbigliamento;1949;P.zza Missori;3;1;1;DUOMO;9.188172396000027;45.461041960000045;(45.461041960000045, 9.188172396000027)
63;Colorificio Cesariano di Rossi Aldo;Colori, vernici, ferramenta;1959;Via Cesare Cesariano;8;1;69;SARPI;9.176305500000069;45.47835900000007;(45.47835900000007, 9.176305500000069)
64;Copisteria Dorigoni;Copisteria;1933;Via Zebedia;9;1;1;DUOMO;9.186867000000063;45.46069200000005;(45.46069200000005, 9.186867000000063)
65;Cova Pasticceria;Caffetteria, pasticceria, sala da te;1817;Via Montenapoleone;8;1;1;DUOMO;9.195718500000055;45.46789200000006;(45.46789200000006, 9.195718500000055)
66;Decio;Abbigliamento;1929;C.so Garibaldi;116;1;2;BRERA;9.186615000000074;45.479952000000026;(45.479952000000026, 9.186615000000074)
67;Dellera;Pellicceria;1937;Via San Damiano;4;1;4;GUASTALLA;9.20022300000005;45.46774800000003;(45.46774800000003, 9.20022300000005)
68;Demaldè;Bigiotteria Articoli da Regalo;1943;Piazza del Carmine;1;1;2;BRERA;9.185242500000072;45.47008800000003;(45.47008800000003, 9.185242500000072)
69;D'Isabella Ottolenghi;Merceria;1929;P.zza San Babila;3;1;1;DUOMO;9.197149500000023;45.46657800000003;(45.46657800000003, 9.197149500000023)
