id_area;municipio;area;localita;obj_id;codice;descrizione_codice;data_ini;LONG_X_4326;LAT_Y_4326;Location
9_111;9;111;via Maffucci n. 60;220562;P214272;Tavolo da pic nic;2014/06/10;9.1722024752;45.5022023555;(45.5022023555, 9.1722024752)
9_111;9;111;via Maffucci n. 60;220563;P214272;Tavolo da pic nic;2014/06/10;9.1721384789;45.5022322579;(45.5022322579, 9.1721384789)
6_055;6;55;via San Colombano n. 8;222183;P214272;Tavolo da pic nic;2015/01/27;9.1257110406;45.4385644611;(45.4385644611, 9.1257110406)
8_071;8;71;piazzale Lotto;223425;P214272;Tavolo da pic nic;2015/06/05;9.1441317913;45.4798063882;(45.4798063882, 9.1441317913)
8_071;8;71;piazzale Lotto;223426;P214272;Tavolo da pic nic;2015/06/05;9.144128255;45.4797773597;(45.4797773597, 9.144128255)
8_071;8;71;piazzale Lotto;223427;P214272;Tavolo da pic nic;2015/06/05;9.144102715;45.4797509186;(45.4797509186, 9.144102715)
6_067;6;67;vie Danusso - De Finetti;224678;P214272;Tavolo da pic nic;2015/05/13;9.1595162074;45.4248320562;(45.4248320562, 9.1595162074)
6_067;6;67;vie Danusso - De Finetti;224679;P214272;Tavolo da pic nic;2015/05/13;9.1596552202;45.4253099148;(45.4253099148, 9.1596552202)
6_067;6;67;vie Danusso - De Finetti;224680;P214272;Tavolo da pic nic;2015/05/13;9.1596427697;45.4252888419;(45.4252888419, 9.1596427697)
6_067;6;67;vie Danusso - De Finetti;224681;P214272;Tavolo da pic nic;2015/05/13;9.1597047478;45.425296867;(45.425296867, 9.1597047478)
6_067;6;67;vie Danusso - De Finetti;224682;P214272;Tavolo da pic nic;2015/05/13;9.1596937341;45.4252743725;(45.4252743725, 9.1596937341)
6_067;6;67;vie Danusso - De Finetti;224683;P214272;Tavolo da pic nic;2015/05/13;9.1600888297;45.4255699969;(45.4255699969, 9.1600888297)
8_287;8;287;via Val Trompia n. 45a;224898;P214272;Tavolo da pic nic;2015/07/30;9.1352263688;45.519807649;(45.519807649, 9.1352263688)
4_191;4;191;via Anfossi;225146;P214272;Tavolo da pic nic;2015/09/04;9.212500476;45.4590987087;(45.4590987087, 9.212500476)
8_530;8;530;vie Perin del Vaga - Polidoro da Caravaggio;226006;P214272;Tavolo da pic nic;2015/11/27;9.1357099999;45.4993415018;(45.4993415018, 9.1357099999)
7_416;7;416;vie Colombi - Bentivoglio - Viterbo;226470;P214272;Tavolo da pic nic;2015/11/24;9.1121311724;45.4575561712;(45.4575561712, 9.1121311724)
7_416;7;416;vie Colombi - Bentivoglio - Viterbo;226471;P214272;Tavolo da pic nic;2015/11/24;9.112154679;45.457479978;(45.457479978, 9.112154679)
7_416;7;416;vie Colombi - Bentivoglio - Viterbo;226472;P214272;Tavolo da pic nic;2015/11/24;9.1121719407;45.4574359599;(45.4574359599, 9.1121719407)
7_416;7;416;vie Colombi - Bentivoglio - Viterbo;226473;P214272;Tavolo da pic nic;2015/11/24;9.1121062055;45.457426041;(45.457426041, 9.1121062055)
7_416;7;416;vie Colombi - Bentivoglio - Viterbo;226474;P214272;Tavolo da pic nic;2015/11/24;9.1120926224;45.457469316;(45.457469316, 9.1120926224)
7_416;7;416;vie Colombi - Bentivoglio - Viterbo;226475;P214272;Tavolo da pic nic;2015/11/24;9.1120633357;45.4575469938;(45.4575469938, 9.1120633357)
6_237;6;237;parco dei Fontanili;227246;P214272;Tavolo da pic nic;2015/08/30;9.1039071567;45.4505851738;(45.4505851738, 9.1039071567)
6_237;6;237;parco dei Fontanili;227247;P214272;Tavolo da pic nic;2015/08/30;9.1039896905;45.4506030681;(45.4506030681, 9.1039896905)
2_036;2;36;vie Giacometti - Gilardi - Breda;227661;P214272;Tavolo da pic nic;2016/03/22;9.2192943389;45.513877213;(45.513877213, 9.2192943389)
1_092;1;92;giardino Roberto Bazlen;228540;P214272;Tavolo da pic nic;2016/03/21;9.1970375761;45.4540139031;(45.4540139031, 9.1970375761)
